Frame,radarX,radarY,RX,RY,RX,RY,RX,RY,RX,RY,RX,RY
51,27.7432,148.62,-587.633,2599.38,-792.748,3764.12,-899.125,4838.33,-931.585,5927.96,-1009.18,7099.44
52,30.2058,150.979,-587.653,2599.37,-792.738,3764.08,-899.21,4838.39,-931.618,5927.97,-1009.13,7099.41
53,29.7561,155.471,-587.742,2599.39,-792.699,3764.1,-899.467,4838.67,-931.855,5928.19,-1009.09,7099.41
54,29.4087,160.683,-587.776,2599.44,-792.659,3764.14,-899.61,4838.77,-931.929,5928.31,-1009.05,7099.45
55,30.1816,164.335,-587.701,2599.43,-792.642,3764.17,-899.428,4838.59,-931.78,5928.15,-1009.08,7099.43
56,31.0718,168.219,-587.618,2599.42,-792.679,3764.17,-899.123,4838.37,-931.568,5927.93,-1009.12,7099.41
57,31.5989,173.169,-587.654,2599.39,-792.727,3764.11,-899.095,4838.36,-931.592,5927.91,-1009.13,7099.34
58,30.924,177.503,-587.753,2599.34,-792.758,3764.05,-899.865,4838.4,-931.849,5928.12,-1009.14,7099.3
59,30.8093,181.886,-587.815,2599.34,-792.748,3764.03,-899.671,4838.69,-931.975,5928.25,-1009.1,7099.29
60,30.3112,185.562,-587.76,2599.37,-792.732,3764.05,-899.592,4838.61,-931.922,5928.18,-1009.09,7099.29
61,31.2271,189.495,-587.629,2599.42,-792.69,3764.1,-899.323,4838.35,-931.685,5927.94,-1009.08,7099.32
62,31.7236,193.918,-587.605,2599.41,-792.698,3764.12,-899.493,4838.12,-931.589,5927.86,-1009.12,7099.3
63,30.9382,198.616,-587.682,2599.37,-792.738,3764.11,-899.374,4838.43,-931.738,5928.02,-1009.15,7099.32
64,29.9709,203.87,-587.334,2599.63,-792.758,3764.07,-899.664,4838.67,-932.003,5928.27,-1009.17,7099.3
65,30.043,208.496,-587.331,2599.63,-792.769,3764.04,-899.921,4838.59,-931.944,5928.26,-1009.17,7099.29
66,31.6103,213.645,-587.28,2599.67,-792.718,3764.05,-899.305,4838.48,-931.712,5928.06,-1009.14,7099.34
67,32.2062,217.791,-587.568,2599.43,-792.658,3764.09,-899.26,4838.21,-931.531,5927.91,-1009.11,7099.37
68,32.148,223.01,-587.562,2599.47,-792.588,3764.14,-899.08,4838.43,-931.564,5927.99,-1009.1,7099.41
69,31.1199,228.595,-587.681,2599.43,-792.578,3764.15,-899.47,4838.7,-931.809,5928.23,-1009.11,7099.41
70,30.9119,234.183,-587.267,2599.7,-792.655,3764.14,-899.642,4838.85,-931.991,5928.36,-1009.15,7099.41
71,31.7988,238.971,-587.323,2599.66,-792.754,3764.14,-899.495,4838.67,-931.845,5928.21,-1009.17,7099.41
72,33.9936,242.723,-587.664,2599.36,-792.763,3764.14,-899.187,4838.4,-931.642,5927.97,-1009.15,7099.41
73,33.4896,247.814,-587.627,2599.41,-792.703,3764.14,-899.166,4838.36,-931.592,5927.96,-1009.13,7099.42
74,33.6997,253.046,-587.678,2599.42,-792.637,3764.12,-899.351,4838.55,-931.748,5928.12,-1009.06,7099.38
75,31.4937,259.382,-587.761,2599.41,-792.63,3764.08,-899.62,4838.68,-931.909,5928.25,-1009.06,7099.33
76,31.7974,264.452,-587.294,2599.67,-792.716,3764.04,-899.513,4838.59,-931.886,5928.15,-1009.09,7099.24
77,33.5821,268.333,-587.735,2599.33,-792.822,3764.05,-899.306,4838.36,-931.706,5927.92,-1009.13,7099.25
78,34.1136,273.032,-587.704,2599.33,-792.825,3764.06,-899.579,4838.13,-931.625,5927.86,-1009.19,7099.27
79,33.176,278.783,-587.724,2599.36,-792.764,3764.07,-899.377,4838.43,-931.751,5928.01,-1009.2,7099.31
80,33.582,282.374,-587.755,2599.42,-792.649,3764.07,-899.541,4838.66,-931.92,5928.23,-1009.17,7099.33
81,33.9658,288.065,-587.697,2599.45,-792.553,3764.06,-899.563,4838.67,-931.868,5928.25,-1009.09,7099.34
82,33.6891,294.146,-587.613,2599.45,-792.591,3764.09,-899.307,4838.51,-931.688,5928.08,-1009.05,7099.31
83,35.1042,298.337,-587.612,2599.41,-792.714,3764.1,-899.098,4838.36,-931.568,5927.93,-1009.08,7099.31
84,35.9696,303.163,-587.727,2599.37,-792.833,3764.12,-899.243,4838.46,-931.68,5928.01,-1009.11,7099.35
85,34.5214,309.01,-587.848,2599.34,-792.842,3764.14,-899.849,4838.57,-931.959,5928.24,-1009.15,7099.4
86,34.6526,314.044,-587.827,2599.37,-792.768,3764.15,-899.731,4838.76,-931.995,5928.3,-1009.18,7099.43
87,34.6526,314.044,-587.695,2599.44,-792.64,3764.16,-899.429,4838.65,-931.799,5928.17,-1009.14,7099.41
88,36.0957,325.291,-587.542,2599.48,-792.552,3764.17,-899.044,4838.45,-931.534,5927.98,-1009.08,7099.4
89,36.9163,327.052,-587.555,2599.45,-792.603,3764.15,-899.234,4838.31,-931.505,5927.94,-1009.08,7099.35
90,34.9651,332.935,-587.718,2599.38,-792.73,3764.11,-899.787,4838.4,-931.749,5928.09,-1009.12,7099.32
91,35.7027,337.037,-587.365,2599.61,-792.834,3764.06,-899.716,4838.65,-931.991,5928.23,-1009.19,7099.32
92,36.5014,341.541,-587.37,2599.6,-792.844,3764.06,-899.934,4838.52,-931.983,5928.17,-1009.22,7099.33
93,36.2015,346.403,-587.723,2599.35,-792.761,3764.05,-899.361,4838.43,-931.771,5928,-1009.23,7099.32
