Objects
100
,,Global Angle husky-radar:husky-radar,,,,,,Global Angle reflector1:reflector1,,,,,,Global Angle reflector2:reflector2,,,,,,Global Angle reflector3:reflector3,,,,,,Global Angle reflector4:reflector4,,,,,,Global Angle reflector5:reflector5,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
15,0,0.135214,0.0564005,3.33144,29.715,12.2282,563.075,-0.00615995,-0.00108849,-0.00142558,-587.681,2599.4,117.927,0.129066,0.0315954,3.41658,-792.849,3764.06,140.962,0.141307,0.0546246,3.39933,-899.049,4838.19,129.403,0.114053,0.0506691,3.30946,-941.562,5924.57,131.61,0.0155517,1.57525e-05,0.00849834,-1009.14,7099.28,60.1991
16,0,0.13391,0.051887,3.33256,29.6544,12.3309,563.375,-0.0060877,-0.000595207,-0.00149937,-587.645,2599.43,117.922,0.129169,0.0315354,3.41644,-792.746,3764.12,140.954,0.141165,0.0548155,3.39936,-899.044,4838.29,129.394,0.113422,0.0522713,3.30791,-941.768,5924.48,131.743,0.015817,1.38611e-05,0.00915892,-1009.13,7099.29,60.2185
17,0,0.133378,0.0416778,3.33855,28.2329,13.6138,564.401,-0.00583232,0.00135629,-0.00178409,-587.766,2599.41,117.948,0.129141,0.0316468,3.41637,-792.678,3764.13,140.952,0.138332,0.0530063,3.39911,-899.474,4838.69,129.49,0.114565,0.0503876,3.30953,-941.719,5924.45,131.714,0.0172177,-0.000424935,0.0101374,-1009.17,7099.35,60.225
18,0,0.123397,0.0232906,3.36335,27.0637,16.1264,565.645,-0.00270229,-0.000974139,0.000373476,-587.325,2599.69,117.43,0.128991,0.0315745,3.41648,-792.719,3764.11,140.969,0.137044,0.0522592,3.39849,-899.857,4838.9,129.483,0.114103,0.0501972,3.3099,-941.764,5924.48,131.709,0.0174043,7.424e-06,0.00999037,-1009.24,7099.38,60.2333
19,0,0.123431,0.0209462,3.36387,27.9658,16.4582,565.604,-0.00275078,-0.00120362,0.000510159,-587.381,2599.68,117.447,0.129012,0.0317661,3.41656,-792.791,3764.06,140.974,0.138496,0.0527708,3.39882,-899.695,4838.66,129.464,0.11367,0.0504267,3.30972,-941.673,5924.55,131.656,0.0187484,-0.000355912,0.00914089,-1009.24,7099.4,60.2319
20,0,0.122694,0.0157379,3.36547,29.8019,16.481,565.114,-0.00597358,-0.000524935,-0.00139807,-587.729,2599.38,117.916,0.128958,0.031786,3.41651,-792.825,3764.01,140.988,0.140982,0.0545356,3.39946,-899.199,4838.19,129.386,0.114138,0.0521962,3.30812,-941.602,5924.6,131.651,0.0174138,-0.00030983,0.00826395,-1009.18,7099.38,60.2116
21,0,0.123104,0.0150539,3.36235,30.404,17.6223,565.173,-0.00600587,-0.00122744,-0.00146378,-587.613,2599.4,117.935,0.129024,0.0316733,3.41652,-792.781,3764.02,140.992,0.141338,0.0551782,3.39944,-898.963,4838.08,129.394,0.114037,0.0513406,3.30909,-941.308,5924.61,131.475,0.0170451,-0.000378282,0.0080545,-1009.11,7099.3,60.2075
22,0,0.133176,-0.00286783,3.35666,29.2517,20.0807,565.524,-0.00588243,0.000250526,-0.00201017,-587.654,2599.4,117.947,0.128932,0.0317402,3.41645,-792.709,3764.06,140.975,0.147189,0.0591852,3.40017,-899.555,4838.36,129.261,0.15134,0.0353894,3.30342,-932.186,5927.87,109.311,0.0166544,-0.000317542,0.00869782,-1009.1,7099.31,60.1996
23,0,0.118511,0.0143612,3.3632,27.8088,23.044,566.886,-0.00282349,-0.00123465,-0.000114545,-587.252,2599.7,117.441,0.129053,0.0316196,3.41636,-792.659,3764.12,140.971,0.146253,0.0590728,3.39955,-900.004,4838.76,129.285,0.151656,0.0359364,3.30224,-932.434,5928.21,109.467,0.0175157,-0.000334877,0.00953984,-1009.12,7099.32,60.2191
24,0,0.121881,0.00910736,3.36082,28.3387,25.9013,566.59,-0.00313101,-0.001265,0.000204842,-587.306,2599.68,117.467,0.129153,0.0316533,3.41644,-792.715,3764.19,140.975,0.136423,0.0519719,3.39853,-899.653,4838.83,129.554,0.152067,0.0357318,3.30241,-932.41,5928.2,109.481,0.0176885,-0.000503921,0.0103335,-1009.2,7099.33,60.2441
25,0,0.132566,0.00667925,3.3579,30.1481,28.0701,565.421,-0.0061584,-0.000147807,-0.00145056,-587.729,2599.38,117.943,0.129048,0.0317419,3.41648,-792.784,3764.19,140.971,0.147002,0.0585793,3.40004,-899.512,4838.38,129.283,0.151707,0.0354121,3.30366,-932.127,5927.89,109.316,0.0169326,-0.000485114,0.0107634,-1009.24,7099.36,60.2502
26,0,0.130794,0.0484386,3.33811,31.8203,29.3817,564.734,-0.00639147,-0.00149057,-0.00125709,-587.653,2599.39,117.939,0.129172,0.0318732,3.41651,-792.811,3764.17,140.973,0.141765,0.0553243,3.39924,-898.977,4838.19,129.401,0.151153,0.0353782,3.30426,-931.983,5927.71,109.245,0.0157145,-0.000798525,0.00946771,-1009.18,7099.35,60.2356
27,0,0.134221,0.0608853,3.32407,31.482,33.0397,564.522,-0.00620633,-0.000643483,-0.0014434,-587.689,2599.41,117.918,0.128961,0.031757,3.41651,-792.771,3764.1,140.97,0.146731,0.0588328,3.40013,-899.42,4838.28,129.261,0.151127,0.0354529,3.30381,-932.084,5927.84,109.294,0.0144989,6.42241e-05,0.00790903,-1009.17,7099.31,60.221
28,0,0.135346,0.013394,3.34955,29.6494,41.8825,566.03,-0.00588014,0.00189118,-0.00173771,-587.818,2599.43,117.958,0.128956,0.0318131,3.41651,-792.678,3764.05,140.977,0.138399,0.053173,3.39879,-899.677,4838.75,129.479,0.148401,0.0373328,3.30297,-932.447,5928.21,109.411,0.0152898,0.000282376,0.00806276,-1009.15,7099.29,60.2281
29,0,0.123177,0.02654,3.36055,29.0266,47.1168,566.766,-0.00284898,-0.000883887,0.00060663,-587.279,2599.73,117.412,0.129019,0.0317833,3.4164,-792.62,3764.04,140.977,0.137375,0.0526393,3.39857,-899.867,4838.88,129.48,0.151816,0.0357754,3.30193,-932.512,5928.32,109.511,0.0160745,4.81719e-05,0.00837061,-1009.19,7099.32,60.2283
30,0,0.123054,0.0249953,3.36111,29.6203,49.3677,565.312,-0.00289563,-0.000885829,0.000679412,-587.325,2599.7,117.426,0.128995,0.0317627,3.41643,-792.655,3764.06,140.973,0.139038,0.0534234,3.39935,-899.479,4838.59,129.447,0.151779,0.0358738,3.30301,-932.271,5928.03,109.361,0.0171449,0.000279585,0.00925752,-1009.22,7099.34,60.2347
31,0,0.132858,0.0394212,3.37494,31.1384,52.2808,564.718,-0.00607544,-0.000624884,-0.00114869,-587.68,2599.35,117.907,0.129031,0.0317809,3.41648,-792.77,3764.04,140.971,0.152413,0.0629602,3.40073,-899.454,4838.04,129.084,0.147241,0.037251,3.30447,-932.075,5927.72,109.174,0.0175445,-0.000385053,0.00950607,-1009.2,7099.33,60.237
32,0,0.109484,0.0014338,3.40729,31.7154,55.1439,564.715,-0.00596269,-0.000923744,-0.00153504,-587.711,2599.31,117.921,0.129127,0.0318741,3.41646,-792.848,3764.04,140.975,0.140347,0.0541137,3.3993,-899.084,4838.2,129.391,0.150346,0.0356282,3.30412,-932.069,5927.72,109.236,0.0168884,-9.37568e-05,0.00899754,-1009.17,7099.31,60.236
33,0,0.0824295,-0.0780533,3.39734,29.8796,60.4908,564.426,-0.00584903,0.000979513,-0.00199104,-587.831,2599.31,117.955,0.129114,0.0317877,3.41652,-792.829,3764.04,140.979,0.150593,0.0617925,3.40071,-899.972,4838.43,129.149,0.147779,0.0374834,3.30364,-932.396,5928.06,109.351,0.0164266,-0.000306183,0.00866192,-1009.12,7099.31,60.2424
34,0,0.134332,0.0170537,3.35126,28.652,72.5721,567.174,-0.00289654,-0.0010405,6.39208e-05,-587.305,2599.67,117.432,0.129097,0.0316592,3.41644,-792.739,3764.06,140.981,0.136281,0.0515391,3.39844,-899.742,4838.83,129.546,0.15182,0.035659,3.3022,-932.474,5928.23,109.496,0.0167683,-8.19838e-05,0.00809692,-1009.11,7099.34,60.2017
