Frame,radarX,radarY,R1X,R1Y,R2X,R2Y,R3X,R3Y,R4X,R4Y,R5X,R5Y,GT1X,GT2X,GT3X,GT4X,GT5X,GT1Y,GT2Y,GT3Y,GT4Y,GT5Y
39,-79.771,583.17,292.95,3148.45,170.093,4148.04,55.2344,5212.95,-58.591,6347.23,-277.954,7348.85,2.56528,3.56487,4.62978,5.76406,6.76568,0.3,0.3,0.3,0.3,0.3
40,-80.2462,593.084,293.133,3148.66,170.223,4147.95,55.519,5213.07,-58.3347,6347.05,-277.608,7348.56,2.555576,3.554866,4.619986,5.753966,6.755476,0.3,0.3,0.3,0.3,0.3
41,-81.8138,603.186,292.658,3148.72,170.085,4148.18,55.5096,5213.27,-57.8193,6347.43,-277.751,7348.94,2.545534,3.544994,4.610084,5.744244,6.745754,0.3,0.3,0.3,0.3,0.3
42,-81.9661,612.6,292.891,3148.64,170.194,4148.23,55.3661,5213.14,-58.2536,6347.39,-277.661,7349.18,2.53604,3.53563,4.60054,5.73479,6.73658,0.3,0.3,0.3,0.3,0.3
43,-85.5882,623.907,293.12,3148.63,170.123,4147.98,55.4669,5213.14,-59.226,6347.4,-277.764,7348.48,2.524723,3.524073,4.589233,5.723493,6.724573,0.3,0.3,0.3,0.3,0.3
44,-87.1729,633.759,292.798,3148.68,170.129,4148.04,55.4778,5213.18,-57.2988,6347.17,-277.85,7348.65,2.514921,3.514281,4.579421,5.713411,6.714891,0.3,0.3,0.3,0.3,0.3
45,-88.5363,643.066,292.823,3148.72,170.218,4148.22,55.4427,5213.06,-57.1759,6347.18,-277.621,7349.07,2.505654,3.505154,4.569994,5.704114,6.706004,0.3,0.3,0.3,0.3,0.3
46,-90.3066,652.841,292.997,3148.53,170.029,4148.06,55.3212,5213.05,-58.4561,6347.33,-277.87,7348.84,2.495689,3.495219,4.560209,5.694489,6.695999,0.3,0.3,0.3,0.3,0.3
47,-91.1446,662.559,293.018,3148.68,170.136,4147.95,55.5108,5213.08,-58.2165,6347.12,-278.03,7348.51,2.486121,3.485391,4.550521,5.684561,6.685951,0.3,0.3,0.3,0.3,0.3
48,-92.5696,673.042,292.708,3148.77,170.184,4148.18,55.4603,5213.19,-57.6271,6347.35,-277.579,7348.84,2.475728,3.475138,4.540148,5.674308,6.675798,0.3,0.3,0.3,0.3,0.3
49,-93.7146,683.199,292.982,3148.67,170.155,4148.23,55.5116,5213.28,-58.1137,6347.43,-277.655,7349.03,2.465471,3.465031,4.530081,5.664231,6.665831,0.3,0.3,0.3,0.3,0.3
50,-94.6189,693.108,293.196,3148.54,170.26,4147.98,55.5769,5213.04,-58.047,6347.09,-277.614,7348.7,2.455432,3.454872,4.519932,5.653982,6.655592,0.3,0.3,0.3,0.3,0.3
51,-96.6078,703.818,292.674,3148.56,170.082,4147.99,55.3587,5213.09,-57.6796,6347.24,-277.89,7348.67,2.444742,3.444172,4.509272,5.643422,6.644852,0.3,0.3,0.3,0.3,0.3
52,-100.761,716.42,292.803,3148.78,170.141,4148.19,55.3676,5213.2,-57.1134,6347.29,-277.686,7349.06,2.43236,3.43177,4.49678,5.63087,6.63264,0.3,0.3,0.3,0.3,0.3
53,-101.534,725.851,293.128,3148.64,170.163,4148.08,55.468,5213.17,-58.1656,6347.3,-277.845,7348.95,2.422789,3.422229,4.487319,5.621449,6.623099,0.3,0.3,0.3,0.3,0.3
54,-103.279,737.399,292.535,3148.95,170.069,4148,55.4452,5213.15,-57.4595,6347.2,-277.884,7348.63,2.411551,3.410601,4.475751,5.609801,6.611231,0.3,0.3,0.3,0.3,0.3
55,-104.403,747.697,292.771,3148.76,170.238,4148.13,55.3886,5212.97,-57.2525,6347.18,-277.654,7348.81,2.401063,3.400433,4.465273,5.599483,6.601113,0.3,0.3,0.3,0.3,0.3
56,-105.51,757.781,293.06,3148.66,170.172,4148.16,55.4952,5213.24,-56.3394,6347.1,-277.797,7349.08,2.390879,3.390379,4.455459,5.589319,6.591299,0.3,0.3,0.3,0.3,0.3
57,-106.958,768.922,293.013,3148.54,170.134,4147.99,55.4986,5213.09,-58.4118,6347.23,-277.801,7348.53,2.379618,3.379068,4.444168,5.578308,6.579608,0.3,0.3,0.3,0.3,0.3
58,-107.785,778.978,292.705,3148.53,170.149,4148.03,55.3622,5213.07,-57.5377,6347.19,-277.994,7348.77,2.369552,3.369052,4.434092,5.568212,6.569792,0.3,0.3,0.3,0.3,0.3
59,-110.238,789.583,292.9,3148.68,170.036,4148.14,55.3796,5213.24,-58.3759,6347.18,-277.856,7349.02,2.359097,3.358557,4.423657,5.557597,6.559437,0.3,0.3,0.3,0.3,0.3
60,-110.829,798.801,293.164,3148.65,170.251,4148.08,55.5839,5213.18,-57.9567,6347.24,-277.371,7348.83,2.349849,3.349279,4.414379,5.548439,6.550029,0.3,0.3,0.3,0.3,0.3
61,-111.204,807.873,293.171,3148.97,170.18,4148.07,55.4788,5213.14,-57.3629,6347.2,-277.804,7348.72,2.341097,3.340197,4.405267,5.539327,6.540847,0.3,0.3,0.3,0.3,0.3
62,-113.431,819.231,293.074,3148.98,170.109,4148.09,55.4147,5213.19,-57.3138,6347.23,-277.899,7348.93,2.329749,3.328859,4.393959,5.527999,6.529699,0.3,0.3,0.3,0.3,0.3
63,-113.491,827.747,293.821,3148.63,170.216,4148.12,55.51,5213.19,-58.0328,6347.28,-277.684,7348.97,2.320883,3.320373,4.385443,5.519533,6.521223,0.3,0.3,0.3,0.3,0.3
64,-115.734,838.63,292.871,3148.58,170.006,4148.06,55.3028,5213.1,-58.5147,6347.38,-277.938,7348.81,2.30995,3.30943,4.37447,5.50875,6.51018,0.3,0.3,0.3,0.3,0.3
