Frame,radarX,radarY,R1X,R1Y,R2X,R2Y,R3X,R3Y,R4X,R4Y,R5X,R5Y,GT1X,GT2X,GT3X,GT4X,GT5X,GT1Y,GT2Y,GT3Y,GT4Y,GT5Y
33,-57.1299,496.262,284.945,3291.02,144.524,4302.12,47.0771,5193.43,-434.593,6348.28,-1231.3,7182.77,2.794758,3.805858,4.697168,5.852018,6.686508,0.4,0.4,0.4,0,-0.4
34,-56.9479,506.224,285.343,3291.14,144.529,4302.27,47.8457,5193.64,-434.212,6348.35,-1230.96,7183.77,2.784916,3.796046,4.687416,5.842126,6.677546,0.4,0.4,0.4,0,-0.4
35,-57.8016,517.034,285.159,3290.98,144.665,4302.11,47.2971,5193.45,-434.474,6348.35,-1231.02,7182.74,2.773946,3.785076,4.676416,5.831316,6.665706,0.4,0.4,0.4,0,-0.4
36,-58.1075,527.111,285.036,3290.88,144.567,4302.06,47.0532,5193.29,-434.588,6348.14,-1231.52,7182.6,2.763769,3.774949,4.666179,5.821029,6.655489,0.4,0.4,0.4,0,-0.4
37,-58.4595,537.045,285.169,3291.04,144.045,4302.05,47.5974,5193.67,-434.34,6348.53,-1230.87,7183.51,2.753995,3.765005,4.656625,5.811485,6.646465,0.4,0.4,0.4,0,-0.4
38,-59.5835,547.482,284.985,3290.47,143.492,4302.01,47.527,5193.71,-434.405,6348.53,-1230.79,7183.29,2.742988,3.754528,4.646228,5.801048,6.635808,0.4,0.4,0.4,0,-0.4
39,-59.3834,557.106,285.054,3291.19,144.531,4302.06,47.112,5193.18,-434.546,6347.97,-1231.6,7182.58,2.734084,3.744954,4.636074,5.790864,6.625474,0.4,0.4,0.4,0,-0.4
40,-60.2982,566.776,285.154,3290.83,144.451,4302.1,47.7312,5194.37,-434.514,6348.34,-1230.94,7182.72,2.724054,3.735324,4.627594,5.781564,6.615944,0.4,0.4,0.4,0,-0.4
41,-60.5125,576.782,285.158,3291.18,144.435,4302.24,46.076,5191.98,-434.342,6348.43,-1230.82,7183.42,2.714398,3.725458,4.615198,5.771648,6.606638,0.4,0.4,0.4,0,-0.4
42,-60.8582,587,285.08,3290.81,144.589,4302.2,45.5299,5191.92,-434.521,6348.26,-1231.41,7183.13,2.70381,3.7152,4.60492,5.76126,6.59613,0.4,0.4,0.4,0,-0.4
43,-61.8001,596.778,285.079,3291.01,143.979,4301.53,45.5966,5191.74,-434.536,6348.3,-1231.49,7182.99,2.694232,3.704752,4.594962,5.751522,6.586212,0.4,0.4,0.4,0,-0.4
44,-61.7581,606.142,285.273,3291.28,144.614,4301.87,48.1086,5194.12,-434.266,6348.3,-1230.8,7183.13,2.685138,3.695728,4.587978,5.742158,6.576988,0.4,0.4,0.4,0,-0.4
45,-63.0555,616.69,285.058,3290.93,144.618,4301.9,47.3307,5193.56,-434.441,6348.46,-1231.1,7183.4,2.67424,3.68521,4.57687,5.73177,6.56671,0.4,0.4,0.4,0,-0.4
46,-63.7512,626.359,285.16,3290.85,144.667,4301.73,47.3025,5193.34,-434.475,6348.16,-1231.21,7182.8,2.664491,3.675371,4.566981,5.721801,6.556441,0.4,0.4,0.4,0,-0.4
47,-64.4045,636.046,285.185,3291.08,143.978,4301.54,47.3519,5193.38,-434.444,6348.24,-1230.93,7182.74,2.655034,3.665494,4.557334,5.712194,6.546694,0.4,0.4,0.4,0,-0.4
48,-64.9553,646.449,284.946,3291.11,144.57,4301.9,47.1946,5193.57,-434.511,6348.53,-1231.02,7183.26,2.644661,3.655451,4.547121,5.702081,6.536811,0.4,0.4,0.4,0,-0.4
49,-65.0129,656.524,285.156,3290.93,144.516,4301.83,47.4102,5193.47,-434.406,6348.28,-1230.96,7183.17,2.634406,3.645306,4.536946,5.691756,6.526646,0.4,0.4,0.4,0,-0.4
50,-65.6973,666.849,285.171,3291.09,144.582,4301.74,47.712,5194.26,-434.483,6348.23,-1231.12,7182.67,2.624241,3.634891,4.527411,5.681381,6.515821,0.4,0.4,0.4,0,-0.4
51,-66.43,676.888,285.093,3291.09,144.572,4301.77,46.4015,5192.84,-434.487,6348.18,-1231.33,7182.92,2.614202,3.624882,4.515952,5.671292,6.506032,0.4,0.4,0.4,0,-0.4
52,-67.2162,687.23,285.058,3291.15,144.624,4301.88,47.486,5193.58,-434.382,6348.39,-1230.7,7183.05,2.60392,3.61465,4.50635,5.66116,6.49582,0.4,0.4,0.4,0,-0.4
53,-68.394,697.978,285.129,3291.01,144.693,4301.85,47.7923,5194.45,-434.457,6348.45,-1231.07,7183.03,2.593032,3.603872,4.496472,5.650472,6.485052,0.4,0.4,0.4,0,-0.4
54,-68.2711,707.762,285.203,3291.07,144.632,4301.76,47.2999,5193.33,-434.452,6348.16,-1231.46,7183.03,2.583308,3.593998,4.485568,5.640398,6.475268,0.4,0.4,0.4,0,-0.4
55,-69.0374,717.839,285.043,3291.06,144.572,4301.88,47.3696,5193.59,-434.453,6348.47,-1230.81,7183.14,2.573221,3.584041,4.475751,5.630631,6.465301,0.4,0.4,0.4,0,-0.4
56,-70.3861,728.932,285.118,3291.02,144.533,4301.83,47.5984,5193.61,-434.404,6348.34,-1230.8,7183.13,2.562088,3.572898,4.464678,5.619408,6.454198,0.4,0.4,0.4,0,-0.4
57,-71.1042,739.393,285.147,3291.02,144.597,4301.67,45.8081,5191.64,-434.499,6348.1,-1231.29,7182.58,2.551627,3.562277,4.452247,5.608707,6.443187,0.4,0.4,0.4,0,-0.4
58,-72.1868,749.911,285.09,3290.94,144.592,4301.79,49.0523,5195.45,-434.506,6348.37,-1231.21,7182.99,2.541029,3.551879,4.445539,5.598459,6.433079,0.4,0.4,0.4,0,-0.4
59,-71.8892,759.73,285.135,3290.88,144.576,4301.87,47.4519,5193.57,-434.405,6348.37,-1230.89,7183.17,2.53115,3.54214,4.43384,5.58864,6.42344,0.4,0.4,0.4,0,-0.4
60,-72.6692,770.216,285.046,3291.15,144.083,4301.6,45.8051,5192.02,-434.514,6348.36,-1231.09,7182.94,2.520934,3.531384,4.421804,5.578144,6.412724,0.4,0.4,0.4,0,-0.4
61,-72.7289,779.382,285.189,3291.29,144.587,4302.14,45.9668,5191.75,-434.393,6348.21,-1231.06,7182.75,2.511908,3.522758,4.412368,5.568828,6.403368,0.4,0.4,0.4,0,-0.4
62,-73.2815,789.393,285.11,3291.21,144.533,4302.22,46.7885,5192.52,-434.395,6348.31,-1231.08,7183.18,2.501817,3.512827,4.403127,5.558917,6.393787,0.4,0.4,0.4,0,-0.4
63,-74.197,800.163,284.979,3291.09,144.435,4302.19,45.855,5191.9,-434.494,6348.45,-1230.96,7183.24,2.490927,3.502027,4.391737,5.548287,6.383077,0.4,0.4,0.4,0,-0.4
64,-74.237,809.875,285.241,3290.9,144.547,4302.13,44.654,5190.82,-434.432,6348.2,-1231.13,7182.98,2.481025,3.492255,4.380945,5.538325,6.373105,0.4,0.4,0.4,0,-0.4
65,-75.1702,820.078,285.014,3291.01,144.491,4302.11,47.5312,5194.35,-434.548,6348.35,-1231.15,7182.95,2.470932,3.482032,4.374272,5.528272,6.362872,0.4,0.4,0.4,0,-0.4
66,-75.6578,830.388,285.116,3290.66,144.406,4302.17,47.3305,5193.5,-434.476,6348.31,-1230.99,7183.12,2.460272,3.471782,4.363112,5.517922,6.352732,0.4,0.4,0.4,0,-0.4
