Frame,radarX,radarY,R1X,R1Y,R2X,R2Y,R3X,R3Y,R4X,R4Y,R5X,R5Y,GT1X,GT2X,GT3X,GT4X,GT5X,GT1Y,GT2Y,GT3Y,GT4Y,GT5Y
36,-35.2154,443.705,285.134,3290.96,143.312,4301.94,46.7297,5192.43,329.836,6437.16,730.554,7359.77,2.847255,3.858235,4.748725,5.993455,6.916065,0.4,0.4,0.4,0.8,1.2
37,-35.8668,453.942,285.134,3290.76,144.5,4302.17,46.5498,5192.35,329.805,6437.13,730.405,7359.85,2.836818,3.848228,4.738408,5.983188,6.905908,0.4,0.4,0.4,0.8,1.2
38,-36.3905,463.605,285.345,3290.85,144.678,4302.27,46.9682,5192.5,330.055,6437.16,730.738,7359.91,2.827245,3.838665,4.728895,5.973555,6.896305,0.4,0.4,0.4,0.8,1.2
39,-37.5201,473.56,285.1,3290.92,144.614,4302.2,46.6648,5192.49,329.794,6437.3,730.617,7359.85,2.81736,3.82864,4.71893,5.96374,6.88629,0.4,0.4,0.4,0.8,1.2
40,-38.2131,483.397,285.138,3290.93,143.563,4301.93,46.677,5192.31,329.891,6437.05,730.472,7359.85,2.807533,3.818533,4.708913,5.953653,6.876453,0.4,0.4,0.4,0.8,1.2
41,-39.1597,493.723,285.164,3290.91,144.594,4302.15,46.7472,5192.41,329.86,6437.17,730.562,7359.82,2.797187,3.808427,4.698687,5.943447,6.866097,0.4,0.4,0.4,0.8,1.2
42,-39.8078,503.653,285.132,3291.19,144.597,4302.2,46.7726,5192.44,329.907,6437.19,730.594,7359.91,2.787537,3.798547,4.688787,5.933537,6.856257,0.4,0.4,0.4,0.8,1.2
43,-46.5392,516.958,285.2,3290.8,144.496,4302.2,46.7351,5192.39,329.934,6437.05,730.517,7359.81,2.773842,3.785242,4.675432,5.920092,6.842852,0.4,0.4,0.4,0.8,1.2
44,-45.4655,525.337,285.15,3290.91,144.62,4302.15,46.6434,5192.39,329.779,6437.19,730.492,7359.78,2.765573,3.776813,4.667053,5.911853,6.834443,0.4,0.4,0.4,0.8,1.2
45,-45.974,535.059,285.251,3291.04,144.612,4302.2,46.8731,5192.44,329.974,6437.14,730.584,7359.88,2.755981,3.767141,4.657381,5.902081,6.824821,0.4,0.4,0.4,0.8,1.2
46,-46.9609,544.869,284.997,3291.07,144.569,4302.19,46.5838,5192.43,329.805,6437.22,730.487,7359.91,2.746201,3.757321,4.647561,5.892351,6.815041,0.4,0.4,0.4,0.8,1.2
47,-47.7444,554.228,285.178,3290.94,144.54,4302.17,46.7738,5192.44,329.857,6437.17,730.534,7359.79,2.736712,3.747942,4.638212,5.882942,6.805562,0.4,0.4,0.4,0.8,1.2
48,-49.0988,564.937,285.349,3290.82,144.593,4302.27,46.893,5192.45,330.039,6437.14,730.736,7359.88,2.725883,3.737333,4.627513,5.872203,6.794943,0.4,0.4,0.4,0.8,1.2
49,-50.1964,575.421,285.015,3290.88,144.594,4302.17,46.4869,5192.41,329.771,6437.26,730.496,7359.94,2.715459,3.726749,4.616989,5.861839,6.784519,0.4,0.4,0.4,0.8,1.2
50,-50.4114,584.337,285.196,3290.84,144.497,4302.13,46.8171,5192.39,329.903,6437.09,730.562,7359.82,2.706503,3.717793,4.608053,5.852753,6.775483,0.4,0.4,0.4,0.8,1.2
51,-51.2007,594.717,285.161,3290.91,144.526,4302.17,46.787,5192.48,329.833,6437.17,730.553,7359.79,2.696193,3.707453,4.597763,5.842453,6.765073,0.4,0.4,0.4,0.8,1.2
52,-50.886,603.584,285.076,3291.01,143.551,4301.95,46.6962,5192.46,329.787,6437.15,730.367,7359.88,2.687426,3.698366,4.588876,5.833566,6.756296,0.4,0.4,0.4,0.8,1.2
53,-51.3419,613.075,285.309,3290.95,144.147,4302.04,46.9512,5192.46,330.018,6437.1,730.644,7359.88,2.677875,3.688965,4.579385,5.824025,6.746805,0.4,0.4,0.4,0.8,1.2
54,-52.1984,623.217,285.163,3290.97,144.57,4302.2,46.8002,5192.53,329.828,6437.19,730.57,7359.79,2.667753,3.678983,4.569313,5.813973,6.736573,0.4,0.4,0.4,0.8,1.2
55,-53.3687,633.803,285.13,3290.92,143.595,4301.96,46.6255,5192.34,329.893,6437.11,730.435,7359.92,2.657117,3.668157,4.558537,5.803307,6.726117,0.4,0.4,0.4,0.8,1.2
56,-54.3297,644.026,285.195,3290.79,144.604,4302.21,46.7919,5192.5,329.914,6437.3,730.738,7359.92,2.646764,3.658184,4.548474,5.793274,6.715894,0.4,0.4,0.4,0.8,1.2
57,-55.3009,653.63,285.236,3290.71,144.536,4302.19,46.7593,5192.47,329.86,6437.21,730.598,7359.86,2.63708,3.64856,4.53884,5.78358,6.70623,0.4,0.4,0.4,0.8,1.2
58,-55.4912,662.967,285.224,3290.68,143.503,4301.95,46.7141,5192.36,329.918,6437.04,730.475,7359.85,2.627713,3.638983,4.529393,5.774073,6.696883,0.4,0.4,0.4,0.8,1.2
59,-56.8004,674.5,285.195,3290.91,144.6,4302.2,46.7832,5192.48,329.853,6437.22,730.619,7359.86,2.61641,3.6277,4.51798,5.76272,6.68536,0.4,0.4,0.4,0.8,1.2
60,-57.2237,684.329,285.26,3290.94,144.577,4302.2,46.8802,5192.46,329.962,6437.11,730.623,7359.85,2.606611,3.617871,4.508131,5.752781,6.675521,0.4,0.4,0.4,0.8,1.2
61,-58.3081,694.828,285.024,3290.78,143.894,4301.93,46.5797,5192.43,329.718,6437.15,730.389,7359.8,2.595952,3.607102,4.497602,5.742322,6.664972,0.4,0.4,0.4,0.8,1.2
62,-59.2121,704.932,285.156,3291.01,144.546,4302.15,46.7676,5192.45,329.818,6437.15,730.503,7359.75,2.586078,3.597218,4.487518,5.732218,6.654818,0.4,0.4,0.4,0.8,1.2
63,-59.5317,714.444,285.339,3291.01,144.625,4302.24,47.0214,5192.48,330.081,6437.12,730.769,7359.85,2.576566,3.587796,4.478036,5.722676,6.645406,0.4,0.4,0.4,0.8,1.2
64,-61.0631,725.327,285.014,3290.92,144.641,4302.15,46.4701,5192.36,329.791,6437.23,730.419,7359.93,2.565593,3.576823,4.467033,5.711903,6.634603,0.4,0.4,0.4,0.8,1.2
65,-61.227,734.573,285.262,3290.92,144.555,4302.16,46.8715,5192.41,329.954,6437.08,730.532,7359.81,2.556347,3.567587,4.457837,5.702507,6.625237,0.4,0.4,0.4,0.8,1.2
66,-62.3031,745.056,285.237,3290.85,144.557,4302.24,46.8,5192.5,329.927,6437.27,730.751,7359.86,2.545794,3.557184,4.447444,5.692214,6.614804,0.4,0.4,0.4,0.8,1.2
67,-63.8584,756.433,285.034,3290.84,144.701,4301.82,46.4713,5192.39,329.765,6437.27,730.492,7359.91,2.534407,3.545387,4.435957,5.680837,6.603477,0.4,0.4,0.4,0.8,1.2
68,-64.0941,766.128,285.264,3291.04,144.613,4301.84,46.9288,5192.42,329.994,6437.06,730.603,7359.82,2.524912,3.535712,4.426292,5.670932,6.593692,0.4,0.4,0.4,0.8,1.2
69,-64.5348,776.364,285.179,3290.82,144.555,4301.82,46.7196,5192.44,329.815,6437.17,730.554,7359.76,2.514456,3.525456,4.416076,5.660806,6.583396,0.4,0.4,0.4,0.8,1.2
70,-66.482,786.871,285.177,3290.66,144.716,4301.79,46.6861,5192.36,329.858,6437.05,730.363,7359.88,2.503789,3.514919,4.405489,5.650179,6.573009,0.4,0.4,0.4,0.8,1.2
71,-67.1559,794.257,285.164,3291.05,144.633,4301.88,46.9123,5192.56,329.931,6437.22,730.661,7359.86,2.496793,3.507623,4.398303,5.642963,6.565603,0.4,0.4,0.4,0.8,1.2
72,-68.7996,807.15,285.127,3290.88,144.58,4301.81,46.6444,5192.42,329.765,6437.21,730.496,7359.8,2.48373,3.49466,4.38527,5.63006,6.55265,0.4,0.4,0.4,0.8,1.2
73,-69.0923,813.636,285.265,3290.75,144.327,4301.58,46.7544,5192.37,329.939,6437.08,730.488,7359.88,2.477114,3.487944,4.378734,5.623444,6.546244,0.4,0.4,0.4,0.8,1.2
74,-67.5341,813.996,285.241,3290.91,144.767,4301.94,46.9179,5192.61,329.969,6437.34,730.813,7359.91,2.476914,3.487944,4.378614,5.623344,6.545914,0.4,0.4,0.4,0.8,1.2
75,-68.8365,821.429,285.228,3290.97,143.866,4301.57,46.7554,5192.33,329.953,6437.08,730.573,7359.85,2.469541,3.480141,4.370901,5.615651,6.538421,0.4,0.4,0.4,0.8,1.2
76,-71.5611,846.972,285.007,3290.99,143.64,4301.52,46.558,5192.31,329.785,6437.09,730.411,7359.83,2.444018,3.454548,4.345338,5.590118,6.512858,0.4,0.4,0.4,0.8,1.2
77,-72.9927,857.848,285.032,3290.45,144.649,4301.89,46.7242,5192.53,329.837,6437.29,730.665,7359.85,2.432602,3.444042,4.334682,5.579442,6.502002,0.4,0.4,0.4,0.8,1.2
78,-73.5357,866.705,285.283,3290.98,144.627,4301.87,46.9738,5192.51,330.011,6437.13,730.683,7359.82,2.424275,3.435165,4.325805,5.570425,6.493115,0.4,0.4,0.4,0.8,1.2
79,-74.5776,876.7,285.062,3290.8,144.597,4301.81,46.4336,5192.35,329.716,6437.2,730.375,7359.82,2.4141,3.42511,4.31565,5.5605,6.48312,0.4,0.4,0.4,0.8,1.2
80,-74.839,886.698,285.265,3291.03,144.625,4301.83,46.8103,5192.38,329.928,6437.03,730.45,7359.83,2.404332,3.415132,4.305682,5.550332,6.473132,0.4,0.4,0.4,0.8,1.2
81,-75.5237,896.742,285.245,3291,144.695,4301.87,46.911,5192.49,329.985,6437.2,730.697,7359.91,2.394258,3.405128,4.295748,5.540458,6.463168,0.4,0.4,0.4,0.8,1.2
82,-76.9542,907.355,284.998,3290.93,144.695,4301.82,46.5556,5192.47,329.736,6437.33,730.51,7359.87,2.383575,3.394465,4.285115,5.529975,6.452515,0.4,0.4,0.4,0.8,1.2
83,-77.7866,918.884,285.326,3290.79,144.644,4301.81,46.9113,5192.42,329.969,6437.05,730.528,7359.81,2.371906,3.382926,4.273536,5.518166,6.440926,0.4,0.4,0.4,0.8,1.2
84,-79.2374,930.553,285.124,3290.83,144.661,4301.84,46.6823,5192.48,329.828,6437.32,730.665,7359.85,2.360277,3.371287,4.261927,5.506767,6.429297,0.4,0.4,0.4,0.8,1.2
85,-78.7892,936.928,285.149,3290.8,144.544,4302.16,46.6756,5192.37,329.896,6437.12,730.523,7359.91,2.353872,3.365232,4.255442,5.500192,6.422982,0.4,0.4,0.4,0.8,1.2
86,-80.639,949.089,285.272,3290.98,143.946,4302.05,46.9256,5192.43,329.994,6437.03,730.569,7359.8,2.341891,3.352961,4.243341,5.487941,6.410711,0.4,0.4,0.4,0.8,1.2
87,-80.6307,957.317,285.094,3290.98,144.578,4302.16,46.6643,5192.48,329.743,6437.25,730.518,7359.78,2.333663,3.344843,4.235163,5.479933,6.402463,0.4,0.4,0.4,0.8,1.2
88,-80.7803,967.615,285.205,3290.97,144.576,4302.19,46.7341,5192.39,329.927,6437.08,730.472,7359.89,2.323355,3.334575,4.224775,5.469465,6.392275,0.4,0.4,0.4,0.8,1.2
89,-79.738,975.029,285.096,3290.99,144.54,4302.25,46.7276,5192.58,329.842,6437.31,730.665,7359.87,2.315961,3.327221,4.217551,5.462281,6.384841,0.4,0.4,0.4,0.8,1.2
90,-80.5861,984.794,285.191,3291.01,144.597,4302.15,46.7647,5192.39,329.889,6437.11,730.545,7359.81,2.306216,3.317356,4.207596,5.452316,6.375016,0.4,0.4,0.4,0.8,1.2
91,-84.3371,999.711,285.277,3290.77,144.632,4302.17,46.795,5192.34,330.012,6437.04,730.54,7359.91,2.291059,3.302459,4.192629,5.437329,6.360199,0.4,0.4,0.4,0.8,1.2
92,-84.8223,1007.42,285.035,3290.92,143.82,4302.01,46.6242,5192.51,329.803,6437.34,730.637,7359.89,2.2835,3.29459,4.18509,5.42992,6.35247,0.4,0.4,0.4,0.8,1.2
93,-85.103,1015.98,285.246,3290.93,144.493,4302.13,46.8077,5192.31,329.948,6437.03,730.54,7359.81,2.27495,3.28615,4.17633,5.42105,6.34383,0.4,0.4,0.4,0.8,1.2
94,-86.8209,1029.42,285.041,3291.11,144.57,4302.16,46.6813,5192.51,329.766,6437.27,730.515,7359.84,2.26169,3.27274,4.16309,5.40785,6.33042,0.4,0.4,0.4,0.8,1.2
95,-86.888,1037.71,285.178,3290.8,144.549,4302.19,46.6667,5192.44,329.856,6437.21,730.558,7359.88,2.25309,3.26448,4.15473,5.3995,6.32217,0.4,0.4,0.4,0.8,1.2
96,-88.2819,1049.47,285.278,3291.06,144.553,4302.19,46.9128,5192.38,330.032,6437.01,730.621,7359.81,2.24159,3.25272,4.14291,5.38754,6.31034,0.4,0.4,0.4,0.8,1.2
97,-89.0464,1061.42,285.08,3290.92,144.582,4302.18,46.6085,5192.48,329.758,6437.29,730.546,7359.82,2.2295,3.24076,4.13106,5.37587,6.2984,0.4,0.4,0.4,0.8,1.2
98,-89.2648,1072.02,285.271,3290.9,144.627,4302.19,46.7624,5192.33,329.974,6437.01,730.502,7359.85,2.21888,3.23017,4.12031,5.36499,6.28783,0.4,0.4,0.4,0.8,1.2
99,-90.2407,1080.97,285.142,3290.92,143.991,4301.99,46.699,5192.47,329.864,6437.28,730.662,7359.89,2.20995,3.22102,4.1115,5.35631,6.27892,0.4,0.4,0.4,0.8,1.2
100,-91.8255,1091.8,285.112,3291.07,144.697,4301.87,46.6671,5192.48,329.814,6437.27,730.582,7359.87,2.19927,3.21007,4.10068,5.34547,6.26807,0.4,0.4,0.4,0.8,1.2
101,-92.777,1102.35,285.238,3291.07,144.548,4302.22,46.7319,5192.28,330.009,6437,730.565,7359.83,2.18872,3.19987,4.08993,5.33465,6.25748,0.4,0.4,0.4,0.8,1.2
102,-93.7343,1111.75,285.038,3290.88,144.537,4302.17,46.673,5192.51,329.772,6437.31,730.654,7359.84,2.17913,3.19042,4.08076,5.32556,6.24809,0.4,0.4,0.4,0.8,1.2
103,-94.2304,1122.51,285.277,3290.74,144.529,4302.12,46.7651,5192.28,329.958,6436.99,730.472,7359.85,2.16823,3.17961,4.06977,5.31448,6.23734,0.4,0.4,0.4,0.8,1.2
104,-95.257,1132.46,285.114,3291,144.561,4302.15,46.6195,5192.35,329.848,6437.15,730.483,7359.84,2.15854,3.16969,4.05989,5.30469,6.22738,0.4,0.4,0.4,0.8,1.2
105,-96.499,1142.2,285.132,3290.89,144.544,4302.17,46.7032,5192.49,329.8,6437.29,730.619,7359.81,2.14869,3.15997,4.05029,5.29509,6.21761,0.4,0.4,0.4,0.8,1.2
106,-96.3148,1152.37,285.341,3290.77,144.578,4302.2,46.9115,5192.41,330.029,6437.04,730.563,7359.88,2.1384,3.14983,4.04004,5.28467,6.20751,0.4,0.4,0.4,0.8,1.2
107,-97.8225,1161.87,285.038,3290.81,144.601,4302.17,46.5238,5192.44,329.732,6437.29,730.46,7359.87,2.12894,3.1403,4.03057,5.27542,6.198,0.4,0.4,0.4,0.8,1.2
108,-98.0566,1171.01,285.323,3290.91,143.769,4301.97,46.905,5192.38,329.996,6437.06,730.589,7359.84,2.1199,3.13096,4.02137,5.26605,6.18883,0.4,0.4,0.4,0.8,1.2
109,-99.6519,1181.84,285.205,3290.97,144.535,4302.24,46.8872,5192.51,329.941,6437.2,730.741,7359.84,2.10913,3.1204,4.01067,5.25536,6.178,0.4,0.4,0.4,0.8,1.2
110,-100.202,1191.07,284.997,3290.84,144.52,4302.19,46.5697,5192.49,329.762,6437.31,730.546,7359.87,2.09977,3.11112,4.00142,5.24624,6.1688,0.4,0.4,0.4,0.8,1.2
111,-100.747,1200.73,285.318,3290.74,144.571,4302.12,46.7794,5192.27,329.962,6436.97,730.44,7359.84,2.09001,3.10139,3.99154,5.23624,6.15911,0.4,0.4,0.4,0.8,1.2
112,-102.494,1212.39,285.034,3291.05,143.375,4301.99,46.6881,5192.54,329.761,6437.3,730.622,7359.78,2.07866,3.0896,3.98015,5.22491,6.14739,0.4,0.4,0.4,0.8,1.2
113,-102.9,1221.54,285.189,3290.88,144.565,4302.19,46.7372,5192.38,329.952,6437.09,730.544,7359.89,2.06934,3.08065,3.97084,5.21555,6.13835,0.4,0.4,0.4,0.8,1.2
114,-103.54,1230.5,285.257,3290.94,144.589,4302.17,46.8583,5192.41,329.941,6437.08,730.535,7359.85,2.06044,3.07167,3.96191,5.20658,6.12935,0.4,0.4,0.4,0.8,1.2
115,-105.072,1241.61,285.205,3290.73,144.639,4302.18,46.668,5192.46,329.797,6437.27,730.568,7359.82,2.04912,3.06057,3.95085,5.19566,6.11821,0.4,0.4,0.4,0.8,1.2
116,-105.433,1250.89,285.247,3290.83,144.601,4302.18,46.7087,5192.31,329.991,6437.01,730.459,7359.88,2.03994,3.05129,3.94142,5.18612,6.10899,0.4,0.4,0.4,0.8,1.2
117,-106.942,1260.71,284.983,3291.15,144.557,4302.21,46.6142,5192.53,329.785,6437.38,730.612,7359.91,2.03044,3.0415,3.93182,5.17667,6.0992,0.4,0.4,0.4,0.8,1.2
118,-107.851,1271.3,285.235,3290.85,144.478,4302.15,46.8659,5192.41,329.894,6437.08,730.556,7359.76,2.01955,3.03085,3.92111,5.16578,6.08846,0.4,0.4,0.4,0.8,1.2
119,-108.524,1280.46,285.183,3290.86,143.977,4301.95,46.7097,5192.3,329.914,6437.05,730.463,7359.81,2.0104,3.02149,3.91184,5.15659,6.07935,0.4,0.4,0.4,0.8,1.2
120,-109.787,1290.91,285.128,3290.77,144.578,4302.24,46.7224,5192.56,329.832,6437.39,730.734,7359.86,1.99986,3.01133,3.90165,5.14648,6.06895,0.4,0.4,0.4,0.8,1.2
121,-111.171,1301.08,285.308,3291.01,143.499,4302.03,46.9443,5192.39,330.043,6437,730.57,7359.83,1.98993,3.00095,3.89131,5.13592,6.05875,0.4,0.4,0.4,0.8,1.2
122,-112.184,1310.54,284.955,3290.79,144.494,4302.11,46.3916,5192.35,329.66,6437.2,730.349,7359.79,1.98025,2.99157,3.88181,5.12666,6.04925,0.4,0.4,0.4,0.8,1.2
123,-112.571,1321.01,285.183,3290.94,144.636,4302.19,46.7251,5192.39,329.909,6437.16,730.554,7359.86,1.96993,2.98118,3.87138,5.11615,6.03885,0.4,0.4,0.4,0.8,1.2
124,-113.957,1330.69,285.439,3290.74,144.647,4302.23,46.9974,5192.46,330.077,6437.1,730.696,7359.91,1.96005,2.97154,3.86177,5.10641,6.02922,0.4,0.4,0.4,0.8,1.2
125,-115.343,1341.19,285.008,3290.85,143.825,4301.94,46.5102,5192.42,329.737,6437.28,730.505,7359.84,1.94966,2.96075,3.85123,5.09609,6.01865,0.4,0.4,0.4,0.8,1.2
126,-115.768,1351.18,285.286,3290.93,144.543,4302.16,46.8549,5192.34,329.993,6436.96,730.465,7359.83,1.93975,2.95098,3.84116,5.08578,6.00865,0.4,0.4,0.4,0.8,1.2
127,-117.009,1361.59,285.188,3290.74,144.656,4301.9,46.7737,5192.58,329.843,6437.38,730.748,7359.86,1.92915,2.94031,3.83099,5.07579,5.99827,0.4,0.4,0.4,0.8,1.2
128,-118.054,1371.66,285.063,3290.76,144.668,4301.81,46.6237,5192.44,329.818,6437.22,730.574,7359.88,1.9191,2.93015,3.82078,5.06556,5.98822,0.4,0.4,0.4,0.8,1.2
129,-118.284,1381.48,285.24,3290.81,144.611,4301.72,46.6303,5192.18,329.914,6436.93,730.382,7359.81,1.90933,2.92024,3.8107,5.05545,5.97833,0.4,0.4,0.4,0.8,1.2
130,-118.729,1388.94,285.19,3290.9,144.63,4301.88,46.7833,5192.57,329.82,6437.32,730.708,7359.81,1.90196,2.91294,3.80363,5.04838,5.97087,0.4,0.4,0.4,0.8,1.2
131,-117.323,1396.99,285.282,3290.95,144.585,4302.24,46.8448,5192.38,330.056,6437.03,730.609,7359.89,1.89396,2.90525,3.79539,5.04004,5.9629,0.4,0.4,0.4,0.8,1.2
132,-118.922,1408.27,285.088,3290.88,143.438,4301.96,46.5211,5192.36,329.776,6437.21,730.487,7359.85,1.88261,2.89369,3.78409,5.02894,5.95158,0.4,0.4,0.4,0.8,1.2
133,-122.179,1422.4,285.15,3291.1,144.591,4301.81,46.7532,5192.44,329.839,6437.16,730.576,7359.76,1.8687,2.87941,3.77004,5.01476,5.93736,0.4,0.4,0.4,0.8,1.2
134,-121.596,1431.33,285.256,3290.85,144.667,4301.79,46.7484,5192.3,329.966,6437.03,730.486,7359.88,1.85952,2.87046,3.76097,5.0057,5.92855,0.4,0.4,0.4,0.8,1.2
135,-121.488,1437.81,285.02,3290.92,144.696,4301.88,46.5394,5192.48,329.785,6437.41,730.651,7359.91,1.85311,2.86407,3.75467,4.9996,5.9221,0.4,0.4,0.4,0.8,1.2
136,-121.661,1446.41,285.356,3291,144.556,4302.18,46.9428,5192.34,330.053,6436.94,730.547,7359.78,1.84459,2.85577,3.74593,4.99053,5.91337,0.4,0.4,0.4,0.8,1.2
137,-123.225,1456.9,285.101,3290.91,144.119,4301.94,46.6071,5192.38,329.799,6437.16,730.468,7359.8,1.83401,2.84504,3.73548,4.98026,5.9029,0.4,0.4,0.4,0.8,1.2
138,-124.371,1466.97,285.056,3291.02,144.584,4302.23,46.7197,5192.54,329.866,6437.33,730.712,7359.91,1.82405,2.83526,3.72557,4.97036,5.89294,0.4,0.4,0.4,0.8,1.2
